m49_code,country,region,cpc_code,commodity,year,loss_percentage,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
116,Cambodia,"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar",1234,Tomatoes,2013,3.5,Trader,,Physical Damage Rotting/Decay,"onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.",http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf,
116,Cambodia,"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar",1234,Tomatoes,2013,12.5,Farm,,Immaturity Insect Damage Rotting/Decay,"onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.",http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf,
116,Cambodia,"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar",1234,Tomatoes,2013,3.5,Retail,,Rotting/Decay Over-Ripening,"onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.",http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf,
116,Cambodia,"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar",1234,Tomatoes,2013,3.5,Wholesale,,Physical Damage Rotting/Decay,"onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.",http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf,
116,Cambodia,,1213,Cauliflowers and broccoli,2008,16.4,Whole supply chain,,,588,Survey,Weinberger et al 2008,http://ucce.ucdavis.edu/files/datastore/234-1479.pdf,Sourced from Weinberger et al 2008
116,Cambodia,,1232,Cucumbers and gherkins,2008,19.7,Whole supply chain,,,588,Survey,Weinberger et al 2008,http://ucce.ucdavis.edu/files/datastore/234-1479.pdf,Sourced from Weinberger et al 2008
116,Cambodia,,1234,Tomatoes,2008,24.6,Whole supply chain,,,588,Survey,Weinberger et al 2008,http://ucce.ucdavis.edu/files/datastore/234-1479.pdf,
116,Cambodia,,1241.9,"Other beans, green",2008,21.8,Whole supply chain,,,588,Survey,Weinberger et al 2008,http://ucce.ucdavis.edu/files/datastore/234-1479.pdf,
120,Cameroon,,1313,Plantains and cooking bananas,2013,35.0,Whole supply chain,,"rough handling, unprotected storage conditions, and poor transportation",,No Data Collection Specified,Cauthen et al. (2013),http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,
143,Central Asia,,1359.9,"Other fruits, n.e.c.",2011,17.0,Farm,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
143,Central Asia,,1359.9,"Other fruits, n.e.c.",2011,20.0,Processing,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
