,Unnamed: 0,m49_code,country,cpc_code,commodity,year,loss_percentage,food_supply_stage,method_data_collection,Continent
0,4,116,Cambodia,1213.0,Cauliflowers and broccoli,2008,16.4,Whole supply chain,Survey,Asia
1,5,116,Cambodia,1232.0,Cucumbers and gherkins,2008,19.7,Whole supply chain,Survey,Asia
2,6,116,Cambodia,1234.0,Tomatoes,2008,24.6,Whole supply chain,Survey,Asia
3,7,116,Cambodia,1241.9,"Other beans, green",2008,21.8,Whole supply chain,Survey,Asia
4,8,120,Cameroon,1313.0,Plantains and cooking bananas,2013,35.0,Whole supply chain,No Data Collection Specified,Africa
5,9,143,Central Asia,1359.9,"Other fruits, n.e.c.",2011,17.0,Farm,Modelled Estimates,Asia
6,10,143,Central Asia,1359.9,"Other fruits, n.e.c.",2011,20.0,Processing,Modelled Estimates,Asia
7,11,143,Central Asia,1359.9,"Other fruits, n.e.c.",2011,10.0,Farm,Modelled Estimates,Asia
8,12,143,Central Asia,1359.9,"Other fruits, n.e.c.",2011,15.0,Wholesale,Modelled Estimates,Asia
9,13,143,Central Asia,1359.9,"Other fruits, n.e.c.",2011,12.0,Households,Modelled Estimates,Asia
10,14,145,Western Asia,1359.9,"Other fruits, n.e.c.",2011,12.0,Households,Modelled Estimates,Asia
11,15,145,Western Asia,1359.9,"Other fruits, n.e.c.",2011,17.0,Farm,Modelled Estimates,Asia
12,16,145,Western Asia,1359.9,"Other fruits, n.e.c.",2011,20.0,Processing,Modelled Estimates,Asia
13,17,145,Western Asia,1359.9,"Other fruits, n.e.c.",2011,10.0,Farm,Modelled Estimates,Asia
14,18,145,Western Asia,1359.9,"Other fruits, n.e.c.",2011,15.0,Wholesale,Modelled Estimates,Asia
15,19,15,Northern Africa,1359.9,"Other fruits, n.e.c.",2011,10.0,Farm,Modelled Estimates,Africa
16,20,15,Northern Africa,1359.9,"Other fruits, n.e.c.",2011,12.0,Households,Modelled Estimates,Africa
17,21,15,Northern Africa,1359.9,"Other fruits, n.e.c.",2011,15.0,Wholesale,Modelled Estimates,Africa
18,22,15,Northern Africa,1359.9,"Other fruits, n.e.c.",2011,20.0,Processing,Modelled Estimates,Africa
19,23,15,Northern Africa,1359.9,"Other fruits, n.e.c.",2011,17.0,Farm,Modelled Estimates,Africa
20,24,152,Chile,1342.01,Pears,2013,13.0,Farm,No Data Collection Specified,Americas
21,25,156,China,1359.9,"Other fruits, n.e.c.",2014,10.0,Wholesale,Survey,Asia
22,26,156,China,1359.9,"Other fruits, n.e.c.",2014,15.0,Storage,Survey,Asia
23,27,156,China,1359.9,"Other fruits, n.e.c.",2012,12.5,Storage,Modelled Estimates,Asia
24,28,156,China,1359.9,"Other fruits, n.e.c.",2007,12.5,Storage,Expert Opinion,Asia
25,29,170,Colombia,1317.0,Papayas,2016,17.7,Harvest,No Data Collection Specified,Americas
