country,commodity,year,loss_percentage,food_supply_stage
Cambodia,Tomatoes,2013,3.5,Trader
Cambodia,Tomatoes,2013,12.5,Farm
Cambodia,Tomatoes,2013,3.5,Retail
Cambodia,Tomatoes,2013,3.5,Wholesale
Cambodia,Cauliflowers and broccoli,2008,16.4,Whole supply chain
Cambodia,Cucumbers and gherkins,2008,19.7,Whole supply chain
Cambodia,Tomatoes,2008,24.6,Whole supply chain
Cambodia,"Other beans, green",2008,21.8,Whole supply chain
Cameroon,Plantains and cooking bananas,2013,35.0,Whole supply chain
Central Asia,"Other fruits, n.e.c.",2011,17.0,Farm
Central Asia,"Other fruits, n.e.c.",2011,20.0,Processing
Central Asia,"Other fruits, n.e.c.",2011,10.0,Farm
Central Asia,"Other fruits, n.e.c.",2011,15.0,Wholesale
Central Asia,"Other fruits, n.e.c.",2011,12.0,Households
Western Asia,"Other fruits, n.e.c.",2011,12.0,Households
Western Asia,"Other fruits, n.e.c.",2011,17.0,Farm
Western Asia,"Other fruits, n.e.c.",2011,20.0,Processing
Western Asia,"Other fruits, n.e.c.",2011,10.0,Farm
Western Asia,"Other fruits, n.e.c.",2011,15.0,Wholesale
Northern Africa,"Other fruits, n.e.c.",2011,10.0,Farm
Northern Africa,"Other fruits, n.e.c.",2011,12.0,Households
Northern Africa,"Other fruits, n.e.c.",2011,15.0,Wholesale
Northern Africa,"Other fruits, n.e.c.",2011,20.0,Processing
Northern Africa,"Other fruits, n.e.c.",2011,17.0,Farm
Chile,Pears,2013,13.0,Farm
China,"Other fruits, n.e.c.",2014,10.0,Wholesale
China,"Other fruits, n.e.c.",2014,15.0,Storage
China,"Other fruits, n.e.c.",2012,12.5,Storage
China,"Other fruits, n.e.c.",2007,12.5,Storage
Colombia,Papayas,2016,17.7,Harvest
Colombia,Papayas,2016,3.0,Retail
Colombia,Papayas,2016,3.1,Storage
Costa Rica,Tomatoes,2015,2.0,Wholesale
Costa Rica,Tomatoes,2015,10.0,Farm
Costa Rica,Tomatoes,2015,7.5,Retail
Cuba,Cabbages,2011,1.6,Processing
Cuba,Cabbages,2011,0.5,Processing
Cuba,Spinach,2011,1.0,Processing
Cuba,Cantaloupes and other melons,2011,0.2,Processing
Cuba,Cucumbers and gherkins,2011,1.0,Processing
Cuba,Tomatoes,2011,0.9,Processing
Cuba,Tomatoes,2011,7.7,Processing
Cuba,Carrots and turnips,2011,5.6,Processing
Cuba,"Other vegetables, fresh n.e.c.",2011,1.4,Processing
Cuba,Avocados,2011,1.9,Processing
Cuba,Bananas,2011,8.7,Processing
Cuba,"Mangoes, guavas and mangosteens",2011,2.9,Processing
Cuba,Papayas,2011,2.6,Processing
Cuba,Pineapples,2011,3.2,Processing
Sub-Saharan Africa,"Other fruits, n.e.c.",2011,25.0,Processing
Sub-Saharan Africa,"Other fruits, n.e.c.",2011,17.0,Wholesale
Sub-Saharan Africa,"Other fruits, n.e.c.",2011,5.0,Households
Sub-Saharan Africa,"Other fruits, n.e.c.",2011,9.0,Farm
Sub-Saharan Africa,"Other fruits, n.e.c.",2011,10.0,Farm
Benin,Pineapples,2014,50.0,Export
Benin,Tomatoes,2010,27.2,Retail
Benin,Tomatoes,2010,26.0,Farm
Benin,"Onions and shallots, green",2010,43.8,Wholesale
Benin,"Onions and shallots, green",2010,28.0,Retail
Benin,"Mangoes, guavas and mangosteens",2010,45.4,Wholesale
Benin,"Mangoes, guavas and mangosteens",2010,49.5,Retail
Benin,Pineapples,2010,13.9,Wholesale
Benin,Pineapples,2010,22.0,Retail
Benin,Oranges,2010,31.0,Retail
Benin,Tomatoes,2010,53.0,Farm
Benin,Tomatoes,2010,26.2,Wholesale
Benin,Oranges,2010,26.3,Wholesale
Benin,Oranges,2010,10.0,Farm
Benin,Tomatoes,2009,16.4,Farm
Benin,Oranges,2009,36.0,Retail
Benin,Oranges,2009,19.3,Wholesale
Benin,Tomatoes,2009,24.0,Farm
Benin,Tomatoes,2009,29.0,Farm
Benin,Tomatoes,2009,31.2,Wholesale
Benin,Tomatoes,2009,27.5,Wholesale
Benin,Tomatoes,2009,26.4,Retail
Benin,Tomatoes,2009,28.0,Retail
Benin,Tomatoes,2009,27.5,Retail
